时间,阶段,事件类型,事件名称,技术领域,技术分类,关键企业,事件描述,影响程度,数据来源
1929-01,萌芽期,技术起源,OCR专利申请,OCR,人工智能技术,Gustav Tauschek,Gustav Tauschek申请OCR专利，通过监测暗和亮的模式来确定文字形状,高,专利文献
1950-01,萌芽期,理论奠基,图灵测试提出,人工智能,人工智能技术,-,Alan Turing提出图灵测试，为NLP和AI奠定理论基础,高,学术论文
1954-01,萌芽期,技术突破,乔治城-IBM机器翻译实验,机器翻译,人工智能技术,IBM,首次展示机器翻译系统，标志着NLP的正式起步,高,学术论文
1966-01,萌芽期,产品发布,ELIZA聊天程序,对话系统,人工智能技术,MIT,Joseph Weizenbaum开发ELIZA，通过模式匹配展示基础对话能力,中,学术论文
1970-01,萌芽期,理论奠基,语义网络提出,知识图谱,数据技术,-,语义网络作为一种表示知识的方法被提出，用于描述概念之间的关系,高,学术论文
1982-01,萌芽期,理论奠基,安全多方计算问题提出,隐私计算,安全技术,-,姚期智教授提出百万富翁问题，奠定安全多方计算理论基础,高,学术论文
1984-01,萌芽期,项目启动,Cyc知识库项目启动,知识图谱,数据技术,MCC,Douglas Lenat设立Cyc项目，收集生活中常识知识并编码集成到本体知识库,中,项目文档
1990-01,萌芽期,技术突破,统计方法兴起,NLP,人工智能技术,-,隐马尔可夫模型(HMM)在语音识别和词性标注中取得显著进展,高,学术论文
1995-01,萌芽期,技术起源,早期自动化工具出现,屏幕抓取,自动化技术,-,早期自动化工具基于屏幕抓取技术，能够模拟用户在计算机上的操作，但缺乏真正的智能和自主性,低,行业报告
2000-01,发展初期,概念提出,RPA一词出现,RPA,自动化技术,-,RPA(Robotic Process Automation)概念首次被提出,中,行业报告
2001-06,发展初期,产品发布,按键精灵发布,桌面自动化,自动化技术,按键精灵,国内早期RPA产品按键精灵出现，标志着中国RPA技术崛起,中,智研咨询报告
2003-01,发展初期,企业成立,Automation Anywhere成立,RPA,自动化技术,Automation Anywhere,AA成立，定下以机器人解放人力、提高生产力的使命,高,企业官网
2003-10,发展初期,技术突破,Word2Vec前驱NNLM,词嵌入,人工智能技术,Yoshua Bengio团队,Bengio团队提出神经网络语言模型(NNLM)，引入词嵌入解决维度灾难,高,学术论文
